1.000000000000000000e+00,0.000000000000000000e+00,4.220834036805672790e-03,2.701333783555630742e-03,2.026000337666722731e-03,1.975350329225054880e-02,6.078001013000169060e-03,1.350666891777815371e-03,1.502616917102819576e-02,2.532500422083403847e-03
0.000000000000000000e+00,1.000000000000000000e+00,5.487985760901809354e-03,8.454464550578463106e-03,8.899436369029961906e-04,5.487985760901809354e-03,8.899436369029961906e-04,2.818154850192821324e-03,2.862652032037970792e-02,1.334915455354494232e-03
5.370929842228935880e-03,9.566968781470291602e-03,1.000000000000000000e+00,1.594494796911715209e-02,1.846257133266196795e-02,3.860355824102047664e-03,1.644847264182611526e-02,1.577710641154750001e-02,3.457536085934877212e-02,5.706612957368244372e-03
3.425216114826292596e-03,4.240743761213505367e-03,2.136682433534496661e-02,1.000000000000000000e+00,8.155276463872125538e-04,5.056271407600717444e-02,3.751427173381177791e-03,9.133909639536780256e-03,2.365030174522916168e-02,1.353775893002772714e-02
1.540568298527901373e-03,4.279356384799725722e-03,4.450530640191715029e-03,1.711742553919890462e-03,1.000000000000000000e+00,1.540568298527901373e-03,1.061280383430332139e-02,1.369394043135912283e-03,9.928106812735364162e-03,1.092091749400890127e-01
1.531082826046854806e-02,4.611695259177273250e-03,8.485519276886182780e-03,4.630142040213982429e-02,1.088360081165836574e-02,1.000000000000000000e+00,1.936912008854455025e-02,2.767017155506363950e-03,4.925290536801327917e-02,1.420402139826600248e-02
3.717472118959107633e-03,2.534640081108482674e-03,1.284217641094964439e-02,6.759040216289286408e-04,1.301115241635687758e-02,2.348766475160527292e-02,1.000000000000000000e+00,8.448800270361608552e-04,7.772896248732679911e-03,1.013856032443393070e-03
4.309656823623304357e-03,8.300079808459696895e-03,1.484437350359138139e-02,4.788507581803671219e-03,8.938547486033518799e-03,1.117318435754189850e-03,3.192338387869113857e-04,1.000000000000000000e+00,3.351955307262569767e-03,7.597765363128491933e-02
4.614595795590497110e-03,1.572380789608613869e-02,1.110921210049564158e-02,1.794565031618526596e-02,3.930951974021534671e-03,3.674585540933173605e-02,9.229191591180994220e-03,2.905486241668091014e-03,1.000000000000000000e+00,9.400102546573235046e-03
5.379055303412338430e-03,4.538577912254160469e-03,4.034291477559254040e-03,1.546478399731047310e-02,3.294671373340057191e-02,5.379055303412338430e-03,6.723819129265423038e-04,2.454193982181879230e-02,1.159858799798285482e-02,1.000000000000000000e+00
